GUID,Visual Name,Latest Version,Is Certified,Popularity,Finding Category,Finding Pattern,Detection Method,ESLint Rule,Code Origin,Library Name,Occurrence Count,Severity,Present in Prior Version
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,False,0.994,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,1,Medium,
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,False,0.994,Informational,Math.random(),Regex,insecure-random,Author,,9,Low,
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,True,0.994,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,4,High,
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,True,0.994,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),3,High,
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,True,0.994,Network Access,fetch(),Regex,(certification requirement),Author,,4,High,
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,True,0.994,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,True,0.994,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,4,Medium,
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,True,0.994,Informational,http:// URL,Regex,no-http-string,Author,,1,Low,
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,True,0.994,Informational,Math.random(),Regex,insecure-random,Author,,6,Low,
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,True,0.994,Informational,Math.random(),Regex,insecure-random,Library,(bundled),1,Low,
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,True,0.994,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,1,High,
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,True,0.994,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),1,High,
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,True,0.994,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,3,High,
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,True,0.994,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,12,Medium,
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,True,0.994,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,1,Medium,
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,True,0.994,Informational,Math.random(),Regex,insecure-random,Author,,9,Low,
calendarVisual74934D05B71F4C31B0F79D925EE89638,Calendar by MAQ Software,4.3.0.3,True,0.993,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),1,High,
calendarVisual74934D05B71F4C31B0F79D925EE89638,Calendar by MAQ Software,4.3.0.3,True,0.993,Network Access,fetch(),Regex,(certification requirement),Author,,4,High,
calendarVisual74934D05B71F4C31B0F79D925EE89638,Calendar by MAQ Software,4.3.0.3,True,0.993,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,9,Medium,
calendarVisual74934D05B71F4C31B0F79D925EE89638,Calendar by MAQ Software,4.3.0.3,True,0.993,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,4,Medium,
calendarVisual74934D05B71F4C31B0F79D925EE89638,Calendar by MAQ Software,4.3.0.3,True,0.993,Informational,Math.random(),Regex,insecure-random,Author,,2,Low,
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,True,0.993,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,3,High,
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,True,0.993,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),7,High,
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,True,0.993,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,1,High,
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,True,0.993,Network Access,fetch(),Regex,(certification requirement),Author,,1,High,
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,True,0.993,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,40,Medium,
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,True,0.993,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Library,(bundled),3,Medium,
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,True,0.993,DOM Manipulation,outerHTML =,Regex,no-inner-outer-html,Author,,1,Medium,
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,True,0.993,Sensitive Access,document.domain,Regex,no-document-domain,Author,,2,Medium,
