Visual Name,Publisher,GUID,Latest Version,Is Certified,Popularity,Risk Level,Risk Score,Author Findings,Library Findings,Dynamic Code (Author),Network Access (Author),DOM Manipulation (Author),Sensitive Access (Author),Informational (Author),Web Access Permission,Export Content Permission,Local Storage Permission,AAD Auth Permission,External JS Count,Detected Libraries,API Version,Has GPL License,Versions Scanned,Findings Resolved in Latest
Circle KPI Gauge,Paypal_ITA,payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,1.0.0.0,False,0.994,High,63,25,1,1,3,12,0,9,False,False,False,False,9,d3.js; jQuery; Leaflet; Globalize; Lodash,1.5.0,False,2,0
Power KPI Matrix,Microsoft Corporation,powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,3.1.1.0,True,0.994,High,94,22,4,4,4,7,0,7,False,False,False,False,0,jQuery,2.5.0,False,2,0
Scroller,Fredrik Hedenström,ScrollingTextVisual1448795304508,2.0.3.0,True,0.994,High,63,26,1,1,3,13,0,9,False,False,False,False,10,d3.js; jQuery; Leaflet; Globalize; Lodash,1.6.0,False,2,0
Calendar by MAQ Software,MAQ LLC,calendarVisual74934D05B71F4C31B0F79D925EE89638,4.3.0.3,True,0.993,High,62,19,1,0,4,13,0,2,False,False,False,False,0,Globalize,5.11.0,False,6,0
Filter by Powerviz,TRUVIZ INC,PowerSlicerA96234ADB8D143D1837FEC426BB34781,1.0.0.10,True,0.993,High,78,117,18,3,2,41,2,69,False,True,True,False,0,React; Leaflet; ag-Grid; Bootstrap; jsrsasign; Globalize,5.10.0,False,2,0
Gantt Timeline,PowerGraph,stratadatimelineProDB508FD14E2E41D2B5A5522CC05312AELAPIsss,5.4.3.1,True,0.993,High,53,14,2,2,0,9,1,2,False,False,False,False,0,Moment.js; Globalize,5.11.0,False,6,0
Infographic Designer,Microsoft Corporation,PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,1.9.700.0,True,0.993,High,63,20,14,0,4,13,0,3,False,False,False,False,0,jQuery; React; Globalize; TopToJSON / TopoJSON,3.2.0,False,2,0
Card with States by OKVIZ,OKVIZ Corp.,PBI_CV_7B952816_A48F_49B4_9E13_15E3BB2C0337,1.6.8.0,True,0.992,High,94,29,6,3,3,15,0,8,False,False,False,False,0,jQuery; jsrsasign,2.6.0,False,2,0
Histogram Chart (Standard),PBIVizEdit.com,histogramF963F133BA02A0B35D286F09F80E9C78,6.0.2.0,False,0.992,High,43,24,1,0,1,12,0,11,False,False,False,False,0,jQuery; Leaflet; Plotly.js; Globalize; TopToJSON / TopoJSON,5.3.0,False,5,0
Play Axis (Dynamic Slicer),mprozil,PBI_CV_16948668_E17D_454B_8664_2F2C470EA8C1,1.1.7.0,True,0.992,High,38,12,0,1,1,3,0,7,False,False,False,False,1,d3.js; Leaflet,1.11.0,False,2,0
Sunburst by Powerviz,TRUVIZ INC,SunburstVizA96234ADB8D143D1837FEC426BB34781,1.0.0.10,True,0.992,High,68,117,39,4,1,70,2,40,False,False,False,False,0,Leaflet; ag-Grid; jsrsasign; DOMPurify; Quill; Globalize,5.8.0,False,3,0
Bullet Chart,Microsoft Corporation,BulletChart1443347686880,2.4.2.0,True,0.991,High,25,4,4,0,1,3,0,0,False,False,False,False,0,Globalize,5.9.0,False,3,4
Inforiver Reporting Matrix,xViz LLC dba Lumel,inforiverAppPremium2B7A5FD2992D434DAE0B149479307B7B,3.3.9.1,True,0.991,High,96,124,18,4,0,40,0,80,False,True,True,False,0,jQuery; Leaflet; DOMPurify; Quill; Globalize; CodeMirror,5.11.0,False,11,0
Sankey Diagram,VisioChart,sankey_diagram_visiochart_8c1a6a012eec472d899f79bf867da012,2.0.0.5,True,0.991,High,17,8,1,0,0,6,0,2,False,False,False,False,0,,5.10.0,False,7,0
Synoptic Panel by OKVIZ,OKVIZ Corp.,synopticPanelByOKVIZC365478550CD4DC0A2ED985DC3E23EED,2.5.1.0,False,0.991,High,39,45,4,0,1,10,0,34,True,True,True,True,0,jQuery; Leaflet; jsrsasign; DOMPurify; Globalize; CodeMirror,5.11.0,False,6,0
Tornado chart,Microsoft Corporation,TornadoChart1452517688218,3.0.5.0,True,0.991,None,0,0,3,0,0,0,0,0,False,False,False,False,0,jQuery; Globalize,5.11.0,False,4,0
Based On Your Timeline Slicer,Based On,BasedOnTimelineSlicer,1.0.1.5,True,0.99,High,18,36,2,0,0,3,0,33,False,False,False,False,0,Globalize,5.11.0,False,2,0
HTML Content (lite),Daniel Marsh-Patrick,htmlContent443BE3AD55E043BF878BED274D3A6865,1.5.0.0,True,0.99,High,32,8,0,0,1,5,0,2,False,False,False,False,0,jQuery; Globalize,5.7.0,False,3,0
Heatmap,Weiwei Cui,heatmapF244EA9EE1F34E828A80CF19B41976F8,1.1.9.0,False,0.99,High,15,3,0,0,0,3,0,0,False,False,False,False,1,,1.6.0,False,2,0
Sunburst,Microsoft Corporation,Sunburst1445472000808,2.7.0.0,True,0.99,High,15,3,0,0,0,3,0,0,False,False,False,False,0,Globalize,5.11.0,False,4,0
Animated Bar Chart Race,Wishyoulization,wishyoulizationbarchartrace,1.0.0.0,False,0.989,High,83,21,0,2,4,7,0,8,False,False,False,False,0,,2.1.0,False,2,0
Dial Gauge,CloudFronts Technologies,dg5AAA90EFEFE747CB9357C4FC19B85A58,3.1.4.0,True,0.989,High,38,12,0,1,1,3,0,7,False,False,False,False,2,d3.js; Leaflet,1.7.0,False,2,0
